out,text
0.0,job
0.0,seo director technical focus
0.0,"seeking experienced seo director lead agency search engine optimization efforts, particular emphasis technical seo."
0.0,"role, youll drive organic growth client innovative strategy cuttingedge technical optimizations."
0.0,responsibilities:
0.0,technical seo leadership:
0.0,"spearhead technical seo audits, identifying prioritizing critical issue impacting site performance search visibility"
0.0,"develop implement advanced technical seo strategies, including site architecture optimization, crawlability improvements, indexation management"
0.0,collaborate development review code make cogent change request consider technical limitation
0.0,strategy execution:
0.0,create comprehensive seo roadmaps aligned client kpis business objective
0.0,"oversee execution onpage offpage seo tactics, ensuring alignment best practice search engine guideline"
0.0,"stay forefront seo trends, algorithm updates, emerging technologies, incorporating new approach client strategy"
0.0,develop execute local seo program brick mortar service area type business
0.0,management client relations:
0.0,"lead mentor seo specialists, fostering culture continuous learning innovation"
0.0,"serve primary point contact highpriority clients, communicating complex seo concept clear, actionable term"
0.0,collaborate crossfunctional integrate seo broader digital marketing initiative
0.0,help strategy development planning new business pitch well delivery pitch
0.0,requirements:
0.0,"seo experience, least leadership role"
1.0,"deep expertise technical seo, including javascript frameworks, ecommerce platforms, various content management system"
1.0,"strong analytical skill proficiency seo tool like google search console, site crawlers, brightedge, conductor, similarweb, botify, etc."
0.0,proven track record driving significant organic growth client technical seo optimization
0.0,excellent project management leading crossfunctional
0.0,"strong communication skills, written verbal, explain complex technical concept nontechnical stakeholder"
0.0,preferred qualification
0.0,agency inhouse corporate preferred
1.0,"advanced knowledge html, css, javascript"
0.0,familiarity log file analysis largescale data processing
0.0,international seo hreflang implementation
1.0,understanding machine learning ai application seo
0.0,planning executing business pitchesproposals
0.0,"agency, youll opportunity diverse clients, leverage cuttingedge seo tools, lead talented professionals."
0.0,"youre passionate technical seo ready drive organic growth scale, want hear you."
1.0,"business system project manager provide analysis, design, programming solutions, support sap shana business system efficiently economically consistent user business objectives."
0.0,"prioritize projects, allocate resources, application specialist."
1.0,"addition, plan direct installation support business system sap project involving multiple system impacting multiple functional area business."
0.0,required skills:
