out,sentences
0,About the job
0,SEO Director - Technical Focus
0,"We're seeking an experienced SEO Director to lead our agency's search engine optimization efforts, with a particular emphasis on technical SEO."
0,"In this role, you'll drive organic growth for our clients through innovative strategies and cutting-edge technical optimizations."
0,Responsibilities:
0,Technical SEO Leadership:
0,"Spearhead technical SEO audits, identifying and prioritizing critical issues impacting site performance and search visibility"
0,"Develop and implement advanced technical SEO strategies, including site architecture optimization, crawlability improvements, and indexation management"
0,Collaborate with development teams to review code and make cogent change requests that consider technical limitations
0,Strategy and Execution:
0,Create comprehensive SEO roadmaps aligned with client KPIs and business objectives
0,"Oversee the execution of on-page and off-page SEO tactics, ensuring alignment with best practices and search engine guidelines"
0,"Stay at the forefront of SEO trends, algorithm updates, and emerging technologies, incorporating new approaches into client strategies"
0,Develop and execute local SEO programs for both brick and mortar and service area type businesses
0,Team Management and Client Relations:
0,"Lead and mentor a team of SEO specialists, fostering a culture of continuous learning and innovation"
0,"Serve as the primary point of contact for high-priority clients, communicating complex SEO concepts in clear, actionable terms"
0,Collaborate with cross-functional teams to integrate SEO with broader digital marketing initiatives
0,Help in the strategy development and planning for new business pitches as well as the delivery of the pitch
0,Requirements:
0,"7+ years of SEO experience, with at least 2-3 years in a leadership role"
1,"Deep expertise in technical SEO, including experience with JavaScript frameworks, e-commerce platforms, and various content management systems"
1,"Strong analytical skills with proficiency in SEO tools like Google Search Console, Site Crawlers, BrightEdge, Conductor, Similarweb, Botify, etc."
0,Proven track record of driving significant organic growth for clients through technical SEO optimizations
0,Excellent project management abilities and experience leading cross-functional teams
0,"Strong communication skills, both written and verbal, with the ability to explain complex technical concepts to non-technical stakeholders"
0,Preferred Qualifications
0,Agency and in-house corporate experience preferred
1,"Advanced knowledge of HTML, CSS, and JavaScript"
0,Familiarity with log file analysis and large-scale data processing
0,Experience with international SEO and hreflang implementation
1,Understanding of machine learning (AI) and its applications in SEO
0,Experience in planning and executing business pitches/proposals
0,"At our agency, you'll have the opportunity to work with diverse clients, leverage cutting-edge SEO tools, and lead a team of talented professionals."
0,"If you're passionate about technical SEO and ready to drive organic growth at scale, we want to hear from you."
1,"The Business Systems Project Manager will provide analysis, design, programming solutions, and support for SAP S4HANA business systems efficiently and economically consistent with user & business objectives."
0,"They will prioritize projects, allocate resources, and be an application specialist."
1,"In addition, they will plan and direct the installation and support of business systems SAP S4 projects involving multiple systems impacting multiple functional areas of the business."
0,Required Skills:
1,Demonstrated project management experience and configuration & programming knowledge in SAP ECC and/or SAP S/4HANA. SAP S/4HANA experience is a plus.
1,Experience with business intelligence and report writing platforms.
1,Experience using 3rd Party tools/systems with SAP.
0,Strong analytical and problem-solving skills.
0,Excellent oral and written communication skills using the English language to translate business needs into application system changes to ensure successful business processes.
0,Required Work Experience:
0,Education Requirements:
1,"BS in Management Information Systems, Computer Science, or a related field"
0,Job Title: Tech-Savvy Financial Planner - Join Our Innovative Team!
0,Job Description:
0,"Are you looking for a forward-thinking, technology-driven firm that offers a collaborative and growth-oriented environment?"
0,"Join our dynamic financial planning team, where we serve high-net-worth clients nationwide."
0,"In this role, you will deliver tailored financial planning services to an existing book of business and have the opportunity to build your own client base within the Mountain Time Zone."
0,"We’re looking for a self-motivated, detail-focused professional passionate about financial planning and eager to grow within a supportive team."
0,"In this role, you will:"
0,Leverage innovative tools and technology to streamline financial planning processes and enhance client experiences.
0,"Build and maintain strong relationships with clients, ensuring their financial goals are met through comprehensive financial planning."
0,Contribute to the refinement of our wealth transition strategies and planning services.
0,Embrace opportunities for professional development in a fast-evolving financial landscape.
0,Qualifications and Experience:
1,Experience with eMoney is a must
0,"At least 5 years in financial advisory, including advice planning, book of business management, and client relations, with minimum of 2+ years in wealth management for high-net-worth individuals."
0,Proven track record in managing a client book of business with high levels of client satisfaction and loyalty.
1,"Strong understanding of financial planning, investment strategies, and industry regulations."
0,Demonstrated experience applying trust and estate planning principles to enhance clients' wealth preservation.
0,"Bachelor’s degree from an accredited institution; preferred majors include financial planning, finance, or accounting."
1,"Preferred designations include CFP, CPA, CIMA, or EA, or equivalent experience and education."
0,"FINRA Series 7, 63+65, or 66 license"
1,"Familiarity with financial planning software (eMoney preferred), tax modeling (BNA Income Tax Planner preferred), and tax preparation software (CCH Access preferred)."
1,Proficiency with Excel and data visualization tools.
0,"Exceptional analytical skills, as well as strong written and verbal communication abilities."
0,Company Overview:
0,"The AmeriFlex Group is a leading Hybrid RIA, helping clients navigate major life transitions."
0,"With headquarters in Las Vegas, NV, our team of over 200 advisors across the country manages assets exceeding $13 billion."
1,We prioritize a planning-first approach and offer a unique hybrid platform that includes an advisor-owned RIA with a Partner Advisor ownership model.
0,Our Broker/Dealer partner is Osaic.
0,Location:
0,Flexible - Remote or In-Person (Mountain Coast Time Zone Preferred)
0,Salary and Benefits:
0,"Earn a competitive salary between $120,000 and $175,000, depending on your experience and credentials."
0,"Our comprehensive benefits package includes a 401(k), health insurance, and reimbursement for approved professional development expenses."
0,Application Process:
0,"To apply, please send your resume and a compelling cover letter to Stacy Leal at stacy@theameriflexgroup.com."
0,Contact Information:
0,Stacy Leal | Phone: 702-987-9730 | AmeriFlex.com
0,Equal Opportunity Employer Statement:
0,The AmeriFlex Group is committed to fostering a diverse and inclusive workplace.
0,"We are an equal opportunity employer, and all qualified candidates will receive consideration for employment regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability."
0,We are seeking an experienced Class C Licensed Groundwater Plant Operator.
0,The ideal candidate will be responsible for operating and maintaining equipment used in the treatment of groundwater to ensure compliance with regulatory standards.
0,*Duties*
